Latitude,Longitude,Altitude (meters),Date,"Time (hour, minute, second)"
42.002593,-71.197586,42.5,1/22/2023,19:31:22
42.002593,-71.197586,42.3,1/22/2023,19:31:24
42.002593,-71.197586,41.9,1/22/2023,19:31:26
42.002597,-71.197586,41.8,1/22/2023,19:31:28
42.002597,-71.197586,41.8,1/22/2023,19:31:30
42.002597,-71.197586,42,1/22/2023,19:31:32
42.002601,-71.197586,42.3,1/22/2023,19:31:34
42.002601,-71.197586,42.8,1/22/2023,19:31:36
42.002597,-71.197593,43.4,1/22/2023,19:31:37
42.002597,-71.197593,43.6,1/22/2023,19:31:39
42.002597,-71.197593,43.9,1/22/2023,19:31:41
42.002593,-71.197586,43.9,1/22/2023,19:31:43
42.002593,-71.197586,44.7,1/22/2023,19:31:45
42.002601,-71.197608,44.4,1/22/2023,19:31:47
42.002601,-71.197608,45,1/22/2023,19:31:49
42.00259,-71.197616,45.2,1/22/2023,19:31:51
42.002563,-71.197639,44.1,1/22/2023,19:31:53
42.002552,-71.197654,44.6,1/22/2023,19:31:54
42.002529,-71.197677,44.7,1/22/2023,19:31:56
42.002506,-71.1977,44.6,1/22/2023,19:31:58
42.002483,-71.197723,44.6,1/22/2023,19:32:00
42.002456,-71.197746,44.5,1/22/2023,19:32:02
42.002433,-71.197769,44.4,1/22/2023,19:32:04
42.00241,-71.197792,44.3,1/22/2023,19:32:06
42.002388,-71.197807,44,1/22/2023,19:32:08
42.002372,-71.197814,43.9,1/22/2023,19:32:09
42.002349,-71.197837,43.8,1/22/2023,19:32:11
42.002326,-71.197853,43.6,1/22/2023,19:32:13
42.002304,-71.197875,43.2,1/22/2023,19:32:15
42.002285,-71.197891,43.1,1/22/2023,19:32:17
42.002269,-71.197914,43.1,1/22/2023,19:32:19
42.002254,-71.197929,43.1,1/22/2023,19:32:21
42.002239,-71.197937,43.1,1/22/2023,19:32:23
42.002235,-71.197944,43.1,1/22/2023,19:32:24
42.002231,-71.197944,43.1,1/22/2023,19:32:26
42.002227,-71.197944,43,1/22/2023,19:32:28
42.002227,-71.197944,43,1/22/2023,19:32:30
42.002223,-71.197944,42.9,1/22/2023,19:32:32
42.002216,-71.197944,43.2,1/22/2023,19:32:34
42.002201,-71.197944,43.3,1/22/2023,19:32:36
42.002189,-71.197959,43.2,1/22/2023,19:32:38
42.002189,-71.197967,43.5,1/22/2023,19:32:39
42.002197,-71.197982,43.7,1/22/2023,19:32:41
42.002208,-71.19799,43.3,1/22/2023,19:32:43
42.002208,-71.19799,43.2,1/22/2023,19:32:45
42.002208,-71.19799,43.4,1/22/2023,19:32:47
42.002204,-71.19799,43.8,1/22/2023,19:32:49
42.002204,-71.19799,44.1,1/22/2023,19:32:51
42.002204,-71.19799,44.4,1/22/2023,19:32:53
42.002204,-71.19799,44.3,1/22/2023,19:32:54
42.002204,-71.197998,44.7,1/22/2023,19:32:56
42.002208,-71.197998,45.3,1/22/2023,19:32:58
42.002208,-71.198005,45.4,1/22/2023,19:33:00
42.002208,-71.198005,45.4,1/22/2023,19:33:02
42.002212,-71.198005,45.4,1/22/2023,19:33:04
42.002212,-71.198005,45.4,1/22/2023,19:33:07
42.002212,-71.197998,44.8,1/22/2023,19:33:09
42.002208,-71.197998,44.6,1/22/2023,19:33:11
42.002212,-71.197998,44.4,1/22/2023,19:33:12
42.002212,-71.197998,44.1,1/22/2023,19:33:14
42.002216,-71.198005,43.9,1/22/2023,19:33:16
42.00222,-71.198005,43.7,1/22/2023,19:33:18
42.00222,-71.198005,43.5,1/22/2023,19:33:20
42.002223,-71.198005,43.1,1/22/2023,19:33:22
42.00222,-71.197998,42.9,1/22/2023,19:33:24
42.00222,-71.197998,42,1/22/2023,19:33:26
42.002216,-71.19799,41.7,1/22/2023,19:33:27
42.002216,-71.197982,40.7,1/22/2023,19:33:29
42.002208,-71.197982,40,1/22/2023,19:33:31
42.002204,-71.197982,39.8,1/22/2023,19:33:32
42.002201,-71.197975,39.9,1/22/2023,19:33:34
42.002201,-71.197967,40,1/22/2023,19:33:36
42.002201,-71.197967,39.8,1/22/2023,19:33:38
42.002197,-71.197967,39.8,1/22/2023,19:33:40
42.002197,-71.197967,39.7,1/22/2023,19:33:42
42.002197,-71.197967,39.5,1/22/2023,19:33:44
42.002197,-71.197967,39.4,1/22/2023,19:33:46
42.002197,-71.197967,39.4,1/22/2023,19:33:47
42.002201,-71.197959,38.5,1/22/2023,19:33:49
42.002201,-71.197959,38.5,1/22/2023,19:33:51
42.002201,-71.197959,38.5,1/22/2023,19:33:52
42.002204,-71.197959,38.9,1/22/2023,19:33:54
42.002204,-71.197959,38.7,1/22/2023,19:33:56
42.002212,-71.197959,38.9,1/22/2023,19:33:58
42.002212,-71.197959,39.7,1/22/2023,19:33:59
42.002216,-71.197959,39.7,1/22/2023,19:34:01
42.00222,-71.197959,39.7,1/22/2023,19:34:03
42.002223,-71.197959,39.7,1/22/2023,19:34:05
42.002227,-71.197967,39.7,1/22/2023,19:34:07
42.002231,-71.197967,39.7,1/22/2023,19:34:09
42.002231,-71.197967,42.1,1/22/2023,19:34:10
