Latitude,Longitude,Altitude (meters),Date,"Time (hour, minute, second)"
42.00259,-71.197586,42.8,1/22/2023,19:31:18
42.00259,-71.197586,42.8,1/22/2023,19:31:19
42.00259,-71.197586,42.8,1/22/2023,19:31:19
42.00259,-71.197586,42.7,1/22/2023,19:31:19
42.00259,-71.197586,42.7,1/22/2023,19:31:19
42.00259,-71.197586,42.7,1/22/2023,19:31:19
42.00259,-71.197586,42.7,1/22/2023,19:31:19
42.00259,-71.197586,42.7,1/22/2023,19:31:19
42.00259,-71.197586,42.7,1/22/2023,19:31:19
42.002593,-71.197586,42.7,1/22/2023,19:31:20
42.002593,-71.197586,42.7,1/22/2023,19:31:20
42.002593,-71.197586,42.7,1/22/2023,19:31:20
42.002593,-71.197586,42.7,1/22/2023,19:31:20
42.002593,-71.197586,42.7,1/22/2023,19:31:20
42.002593,-71.197586,42.7,1/22/2023,19:31:20
42.002593,-71.197586,42.7,1/22/2023,19:31:20
42.002593,-71.197586,42.7,1/22/2023,19:31:20
42.00259,-71.197586,42.7,1/22/2023,19:31:21
42.00259,-71.197586,42.7,1/22/2023,19:31:21
42.00259,-71.197586,42.6,1/22/2023,19:31:21
42.00259,-71.197586,42.6,1/22/2023,19:31:21
42.00259,-71.197586,42.6,1/22/2023,19:31:21
42.00259,-71.197586,42.6,1/22/2023,19:31:21
42.00259,-71.197586,42.6,1/22/2023,19:31:21
42.00259,-71.197586,42.6,1/22/2023,19:31:21
42.002593,-71.197586,42.6,1/22/2023,19:31:22
42.002593,-71.197586,42.6,1/22/2023,19:31:22
42.002593,-71.197586,42.5,1/22/2023,19:31:22
42.002593,-71.197586,42.5,1/22/2023,19:31:22
42.002593,-71.197586,42.5,1/22/2023,19:31:22
42.002593,-71.197586,42.5,1/22/2023,19:31:22
42.002593,-71.197586,42.5,1/22/2023,19:31:22
42.002593,-71.197586,42.5,1/22/2023,19:31:22
42.002593,-71.197586,42.5,1/22/2023,19:31:23
42.002593,-71.197586,42.5,1/22/2023,19:31:23
42.002593,-71.197586,42.4,1/22/2023,19:31:23
42.002593,-71.197586,42.4,1/22/2023,19:31:23
42.002593,-71.197586,42.4,1/22/2023,19:31:23
42.002593,-71.197586,42.4,1/22/2023,19:31:23
