Time (s),Gyroscope X (deg/s),Gyroscope Y (deg/s),Gyroscope Z (deg/s),Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g)
0,-20.62648062,2.291831181,-10.88619811,0.006818182,0.045454545,1.115909091
0.007531643,-12.60507149,-18.33464944,4.010704566,0.019318182,0.059090909,1.245454545
0.007531643,-17.76169165,-12.60507149,-14.89690267,0.064772727,0.236363636,1.313636364
0.010042191,-13.17802929,-16.61577606,-24.0642274,0.061363636,0.142045455,1.089772727
0.012552738,2.291831181,2.864788976,-0.572957795,0.05,0.039772727,1.095454545
0.015063286,1.14591559,5.729577951,4.010704566,0.081818182,0.032954545,1.126136364
0.020084858,-10.88619811,2.291831181,1.14591559,0.072727273,0.069318182,1.107954545
0.020084858,-2.291831181,4.583662361,2.864788976,0.082954545,0.021590909,1.097727273
0.022595406,-8.021409132,1.14591559,-0.572957795,0.078409091,-0.009090909,1.073863636
0.025105953,-2.864788976,5.156620156,1.14591559,0.078409091,0.023863636,1.1125
0.027616024,-2.864788976,9.167324722,-2.291831181,0.094318182,0.034090909,1.059090909
0.030126572,-4.583662361,4.583662361,1.14591559,0.054545455,0.019318182,1.078409091
0.032637119,-11.4591559,-9.167324722,1.14591559,0.059090909,0.009090909,1.064772727
0.035148144,-0.572957795,3.437746771,-1.718873385,0.129545455,-0.004545455,1.072727273
0.037658691,0.572957795,4.583662361,1.718873385,0.102272727,0.004545455,1.095454545
0.040169239,-4.583662361,-0.572957795,2.291831181,0.090909091,-0.0125,1.127272727
0.042679787,8.594366927,72.76563998,-6.302535746,0.172727273,-0.128409091,1.106818182
0.045190811,24.63718519,95.11099399,-6.875493542,0.1125,0.013636364,1.093181818
0.047700405,14.89690267,88.23550045,-10.88619811,-0.342045455,0.088636364,1.05
0.050211906,-35.5233833,-48.70141259,13.17802929,-0.705681818,0.103409091,0.7875
0.052721977,-22.91831181,-73.33859778,27.50197417,-0.553409091,0.052272727,0.979545455
0.055232525,-24.63718519,-95.68395179,28.64788976,-0.092045455,0.109090909,1.144318182
0.057743073,-18.90760724,-56.72282172,-6.875493542,0.572727273,-0.257954545,0.85
0.060254097,-12.0321137,-41.82591904,-17.76169165,0.561363636,-0.134090909,0.719318182
0.062764645,-9.167324722,-14.32394488,-16.61577606,0.789772727,-0.203409091,0.760227273
0.065275192,6.302535746,94.5380362,-10.31324031,0.292045455,0.353409091,1.418181818
0.067785263,-76.77634455,59.58761069,1.718873385,0.0875,0.346590909,1.360227273
0.070295811,-98.54874076,-13.75098708,-1.718873385,0.038636364,-0.1125,1.2
0.072806358,89.95437384,8.021409132,16.61577606,0.113636364,-0.423863636,0.519318182
0.075316906,93.39212061,16.04281826,22.91831181,-0.034090909,-0.371590909,0.755681818
0.07782793,95.68395179,9.740282517,14.89690267,-0.105681818,-0.2125,0.953409091
0.080338478,50.42028597,-3.437746771,12.60507149,-0.052272727,0.598863636,1.070454545
0.082849026,64.74423085,5.729577951,16.61577606,0.103409091,0.754545455,0.930681818
0.085359573,2.291831181,-9.740282517,17.76169165,0.1625,0.727272727,0.7875
0.087869644,-12.60507149,2.864788976,10.31324031,0.128409091,0.751136364,0.815909091
0.090380192,-110.0078967,2.291831181,-12.0321137,-0.025,0.039772727,1.064772727
0.092891216,-96.82986738,-13.75098708,-19.48056503,-0.005681818,-0.198863636,1.010227273
0.095401764,-50.99324377,13.17802929,-6.875493542,-0.040909091,-0.407954545,0.986363636
0.097912312,-41.25296125,14.89690267,-8.021409132,0,-0.428409091,1.022727273
0.100422859,92.24620502,12.60507149,2.864788976,-0.085227273,-0.655681818,0.702272727
0.102933407,126.0507149,14.89690267,13.17802929,-0.081818182,-0.323863636,1.036363636
0.105444431,89.95437384,12.0321137,7.448451337,-0.115909091,-0.101136364,1.0125
0.107954502,87.66254266,2.291831181,7.448451337,-0.104545455,-0.064772727,0.989772727
0.11046505,9.167324722,-11.4591559,11.4591559,0.044318182,0.584090909,0.964772727
0.112975597,49.27437038,-23.4912696,1.14591559,-0.078409091,0.585227273,0.927272727
0.115486145,20.05352283,-12.60507149,-5.156620156,0.096590909,0.5875,0.904545455
0.117996693,15.46986047,-5.729577951,0,0.068181818,0.634090909,0.923863636
0.120507717,-12.0321137,18.90760724,1.718873385,0.119318182,0.044318182,1.0625
